,isim,baslangicT,bitisTarih,sezonSayisi,sezonDurumu,tur,konuPuan,aktorS,OyuncuKadroPuan,imdb
383,Papatyam,2009,2018,10,,Comedy,16.333333333333332,"Metin Akpinar,Merve Altinkaya,Ömür Arpaci,Ercüment Balakoglu",,4.9
384,Görev Pesinde - Der Auftrag,2009,2018,10,,Action,16.0,"Can Aydin,Kazim Carman,Demir Karahan,Guido Kessler",,5.7
385,Cam kiriklari,2009,2018,10,,Drama,18.0,"Nursel Ergin,Ipek Tenolcay,Kadir Kandemir,Ceren Benderlioglu",,4.1
386,Aynadaki düsman,2009,2018,10,,Action,16.0,"Safak Sezer,Mine Tugay,Fadik Sevin Atasoy,Mahir Günsiray",,4.1
387,Bir bulut olsam,2009,2009,1,,Drama,17.0,"Aslihan Gürbüz,Berfu Öngören,Burcu Binici,Ahmet Kural",,5.8
388,Melekler korusun,2009,2010,2,,Comedy,16.666666666666668,"Hümeyra,Avni Yalçin,Rojda Demirer,Serkan Altunorak",,6.5
389,Genis Aile,2009,2011,3,,Comedy,16.0,"Ufuk Özkan,Rasim Öztekin,Firat Tanis,Ilker Ayrik",,7.1
390,Ey ask nerdesin,2009,2018,10,,Comedy,16.0,"Burçin Terzioglu,Tayanç Ayaydin,Gülden Avsaroglu,Görkem Yeltan",,5.3
391,Kül ve ates,2009,2018,10,,Drama,18.0,"Serhat Tutumluer,Basak Köklükaya,Taner Ölmez,Serap Aksoy",,4.8
392,Ezel,2009,2011,3,,Crime,16.333333333333332,"Kenan Imirzalioglu,Cansu Dere,Ipek Bilgin,Bade Iscil",,8.5
393,Kasaba,2009,2018,10,,Drama,17.0,"Serdal Genç,Talat Bulut,Murat Ünalmis,Lale Yavas",,6.6
394,Bu kalp seni unutur mu?,2009,2018,10,,Drama,18.0,"Ferit Kaya,Ahmet Devran Dayanc,Burak Demir,Turhan Kaya",,6.1
395,Yeni bastan,2009,2018,10,,Drama,18.0,"Ebru Akel,Leyla Giraud,Senay Gürler,Saruhan Hünel",,6.0
396,Makber,2009,2018,10,,Drama,18.0,"Seda Bakan,Devrim Nas,Gamze Karaman,Soydan Soydas",,3.5
397,Samanyolu,2009,2010,2,,Drama,18.0,"Kenan Ece,Eray Özbal,Nesrin Cavadzade,Yilmaz Öztürk",,4.3
398,Muhabbet krali,2009,2018,10,,Talk-Show,14.0,"Sevil Atasoy,Okan Bayülgen",,6.6
399,Maskeli balo,2009,2018,10,,Action,16.666666666666668,"Aytaç Arman,Burcu Kara,Burak Hakki,Korel Cezayirli",,3.9
400,Hanimin çiftligi,2009,2011,3,,Drama,18.0,"Özgü Namal,Caner Cindoruk,Mehmet Çevik,Ali Düsenkalkar",,5.0
401,Ömre bedel,2009,2018,10,,Drama,18.0,"Orhan Biyikli,Özlem Tokaslan,Basri Albayrak,Ege Aydan",,5.8
402,Kahve bahane,2009,2018,10,,Comedy,16.0,"Batur Belirdi,Selim Erdogan,Öner Erkan,Ragip Gülen",,5.4
403,Kapaliçarsi,2009,2018,10,,Adventure,17.5,"Olgun Simsek,Asli Tandogan,Mert Firat,Engin Altan Düzyatan",,5.5
